KLEE: WARNING: executable has module level assembly (ignoring)
KLEE: WARNING ONCE: Large alloc: 39920000 bytes.  KLEE may run out of memory.
KLEE: WARNING ONCE: calling external: syscall(16, 0, 21505, 93829425300512) at runtime/POSIX/fd.c:1012 10
KLEE: WARNING ONCE: Alignment of memory from call "malloc" is not modelled. Using alignment of 8.
KLEE: WARNING ONCE: calling __klee_posix_wrapped_main with extra arguments.
KLEE: WARNING ONCE: calling external: printf(93829424019968, 0) at proj1_87318.c:88 1
KLEE: WARNING ONCE: calling external: vprintf(93829424020768, 93829425311616) at libc/stdio/fprintf.c:35 14
KLEE: WARNING ONCE: skipping fork (memory cap exceeded)
KLEE: WARNING: killing 380 states (over memory cap: 2104MB)
KLEE: WARNING: killing 344 states (over memory cap: 2102MB)
KLEE: WARNING: killing 413 states (over memory cap: 2136MB)
KLEE: WARNING: killing 365 states (over memory cap: 2131MB)
KLEE: WARNING: killing 430 states (over memory cap: 2200MB)
KLEE: WARNING: killing 291 states (over memory cap: 2154MB)
KLEE: WARNING: killing 612 states (over memory cap: 2309MB)
KLEE: WARNING: killing 510 states (over memory cap: 2303MB)
KLEE: WARNING: killing 273 states (over memory cap: 2182MB)
KLEE: WARNING: killing 236 states (over memory cap: 2178MB)
KLEE: WARNING: killing 274 states (over memory cap: 2180MB)
KLEE: WARNING: killing 192 states (over memory cap: 2110MB)
KLEE: WARNING: killing 442 states (over memory cap: 2299MB)
KLEE: WARNING: killing 401 states (over memory cap: 2330MB)
KLEE: WARNING: killing 176 states (over memory cap: 2139MB)
KLEE: WARNING: killing 269 states (over memory cap: 2250MB)
KLEE: WARNING: killing 131 states (over memory cap: 2102MB)
KLEE: WARNING: killing 196 states (over memory cap: 2175MB)
KLEE: WARNING: killing 197 states (over memory cap: 2173MB)
KLEE: WARNING: killing 173 states (over memory cap: 2206MB)
KLEE: WARNING: killing 124 states (over memory cap: 2132MB)
KLEE: WARNING: killing 223 states (over memory cap: 2283MB)
KLEE: WARNING: killing 76 states (over memory cap: 2123MB)
